Partido,Nivel de Gobierno,Profesion Clasificada,N Candidatos,Total Candidatos del Nivel,% del total
APP,GENERAL,EDUCACION,1037,9477,10.94
APP,GENERAL,INGENIERIA,921,9477,9.72
APP,GENERAL,DERECHO,410,9477,4.33
APP,GENERAL,ADMINISTRACION,395,9477,4.17
APP,GENERAL,CONTABILIDAD,256,9477,2.7
APP,GENERAL,ENFERMERIA,146,9477,1.54
APP,GENERAL,PSICOLOGIA,114,9477,1.2
APP,GENERAL,CIENCIAS POLITICAS,101,9477,1.07
APP,GENERAL,ECONOMIA,91,9477,0.96
APP,GENERAL,ODONTOLOGIA,79,9477,0.83
APP,GENERAL,AGROPECUARIA,67,9477,0.71
APP,GENERAL,ARQUITECTURA,65,9477,0.69
APP,GENERAL,CIENCIAS DE LA COMUNICACION,54,9477,0.57
APP,GENERAL,MEDICINA,50,9477,0.53
APP,GENERAL,OBSTETRICIA,42,9477,0.44
APP,GENERAL,MEDICO VETERINARIO,38,9477,0.4
APP,GENERAL,MEDICO CIRUJANO,36,9477,0.38
APP,GENERAL,SOCIOLOGIA,29,9477,0.31
APP,GENERAL,BIOLOGIA,24,9477,0.25
APP,GENERAL,OTROS - OFICIO TECNICO,24,9477,0.25
APP,GENERAL,COMPUTACION E INFORMATICA,21,9477,0.22
APP,GENERAL,TURISMO Y HOTELERIA,20,9477,0.21
APP,GENERAL,FARMACIA Y BIOQUIMICA,18,9477,0.19
APP,GENERAL,MATEMATICA Y ESTADISTICA,18,9477,0.19
APP,GENERAL,CIENCIAS FORESTALES Y AMBIENTALES,16,9477,0.17
APP,GENERAL,POLICIA O MILITAR,16,9477,0.17
APP,GENERAL,TECNOLOGIA MEDICA,15,9477,0.16
APP,GENERAL,TRABAJO SOCIAL,13,9477,0.14
APP,GENERAL,HISTORIA,12,9477,0.13
APP,GENERAL,IDIOMAS,12,9477,0.13
APP,GENERAL,ANTROPOLOGIA,8,9477,0.08
APP,GENERAL,NUTRICION Y DIETETICA,7,9477,0.07
APP,GENERAL,ARTE Y DISENO,6,9477,0.06
APP,GENERAL,INSTRUCTOR DEPORTIVO,5,9477,0.05
APP,GENERAL,LENGUA Y LITERATURA,3,9477,0.03
APP,GENERAL,QUIMICA,3,9477,0.03
APP,GENERAL,FISIOTERAPIA Y TERAPIA FISICA,2,9477,0.02
APP,GENERAL,GASTRONOMIA,2,9477,0.02
APP,GENERAL,AGRICULTURA,1,9477,0.01
APP,GENERAL,ARQUEOLOGIA,1,9477,0.01
APP,GENERAL,CIENCIAS FILOSOFICAS,1,9477,0.01
APP,GENERAL,CIENCIAS MARITIMAS,1,9477,0.01
APP,GENERAL,CIENCIAS SOCIALES,1,9477,0.01
APP,GENERAL,CONSTRUCCION CIVIL,1,9477,0.01
