"Partido","Nivel de Gobierno","Nivel Máximo","N Candidatos","Total Candidatos del Nivel","% del total"
"APP","GENERAL","Secundaria",5684,9477,59.98
"APP","GENERAL","Universitaria",1980,9477,20.89
"APP","GENERAL","Posgrado",562,9477,5.93
"APP","GENERAL","Primaria",527,9477,5.56
"APP","GENERAL","Sin datos",457,9477,4.82
"APP","GENERAL","Técnica",267,9477,2.82
"APP","MUNICIPAL DISTRITAL","Secundaria",4887,7686,63.58
"APP","MUNICIPAL DISTRITAL","Universitaria",1421,7686,18.49
"APP","MUNICIPAL DISTRITAL","Primaria",477,7686,6.21
"APP","MUNICIPAL DISTRITAL","Sin datos",391,7686,5.09
"APP","MUNICIPAL DISTRITAL","Posgrado",310,7686,4.03
"APP","MUNICIPAL DISTRITAL","Técnica",200,7686,2.6
"APP","MUNICIPAL PROVINCIAL","Secundaria",705,1535,45.93
"APP","MUNICIPAL PROVINCIAL","Universitaria",469,1535,30.55
"APP","MUNICIPAL PROVINCIAL","Posgrado",211,1535,13.75
"APP","MUNICIPAL PROVINCIAL","Técnica",54,1535,3.52
"APP","MUNICIPAL PROVINCIAL","Sin datos",49,1535,3.19
"APP","MUNICIPAL PROVINCIAL","Primaria",47,1535,3.06
"APP","REGIONAL","Secundaria",92,256,35.94
"APP","REGIONAL","Universitaria",90,256,35.16
"APP","REGIONAL","Posgrado",41,256,16.02
"APP","REGIONAL","Sin datos",17,256,6.64
"APP","REGIONAL","Técnica",13,256,5.08
"APP","REGIONAL","Primaria",3,256,1.17
"Acción Popular","GENERAL","Secundaria",3264,6041,54.03
"Acción Popular","GENERAL","Universitaria",1482,6041,24.53
"Acción Popular","GENERAL","Posgrado",413,6041,6.84
"Acción Popular","GENERAL","Sin datos",376,6041,6.22
"Acción Popular","GENERAL","Primaria",311,6041,5.15
"Acción Popular","GENERAL","Técnica",195,6041,3.23
"Acción Popular","MUNICIPAL DISTRITAL","Secundaria",2748,4692,58.57
"Acción Popular","MUNICIPAL DISTRITAL","Universitaria",1013,4692,21.59
"Acción Popular","MUNICIPAL DISTRITAL","Primaria",288,4692,6.14
"Acción Popular","MUNICIPAL DISTRITAL","Sin datos",268,4692,5.71
"Acción Popular","MUNICIPAL DISTRITAL","Posgrado",237,4692,5.05
"Acción Popular","MUNICIPAL DISTRITAL","Técnica",138,4692,2.94
"Acción Popular","MUNICIPAL PROVINCIAL","Secundaria",414,1023,40.47
"Acción Popular","MUNICIPAL PROVINCIAL","Universitaria",337,1023,32.94
"Acción Popular","MUNICIPAL PROVINCIAL","Posgrado",126,1023,12.32
"Acción Popular","MUNICIPAL PROVINCIAL","Sin datos",74,1023,7.23
"Acción Popular","MUNICIPAL PROVINCIAL","Técnica",50,1023,4.89
"Acción Popular","MUNICIPAL PROVINCIAL","Primaria",22,1023,2.15
"Acción Popular","REGIONAL","Universitaria",132,326,40.49
"Acción Popular","REGIONAL","Secundaria",102,326,31.29
"Acción Popular","REGIONAL","Posgrado",50,326,15.34
"Acción Popular","REGIONAL","Sin datos",34,326,10.43
"Acción Popular","REGIONAL","Técnica",7,326,2.15
"Acción Popular","REGIONAL","Primaria",1,326,0.31
"Ahora Nación","GENERAL","Secundaria",3073,6011,51.12
"Ahora Nación","GENERAL","Universitaria",1520,6011,25.29
"Ahora Nación","GENERAL","Posgrado",510,6011,8.48
"Ahora Nación","GENERAL","Sin datos",416,6011,6.92
"Ahora Nación","GENERAL","Primaria",288,6011,4.79
"Ahora Nación","GENERAL","Técnica",204,6011,3.39
"Ahora Nación","MUNICIPAL DISTRITAL","Secundaria",2604,4721,55.16
"Ahora Nación","MUNICIPAL DISTRITAL","Universitaria",1107,4721,23.45
"Ahora Nación","MUNICIPAL DISTRITAL","Posgrado",309,4721,6.55
"Ahora Nación","MUNICIPAL DISTRITAL","Sin datos",278,4721,5.89
"Ahora Nación","MUNICIPAL DISTRITAL","Primaria",265,4721,5.61
"Ahora Nación","MUNICIPAL DISTRITAL","Técnica",158,4721,3.35
"Ahora Nación","MUNICIPAL PROVINCIAL","Secundaria",417,1087,38.36
"Ahora Nación","MUNICIPAL PROVINCIAL","Universitaria",368,1087,33.85
"Ahora Nación","MUNICIPAL PROVINCIAL","Posgrado",153,1087,14.08
"Ahora Nación","MUNICIPAL PROVINCIAL","Sin datos",85,1087,7.82
"Ahora Nación","MUNICIPAL PROVINCIAL","Técnica",41,1087,3.77
"Ahora Nación","MUNICIPAL PROVINCIAL","Primaria",23,1087,2.12
"Ahora Nación","REGIONAL","Sin datos",53,203,26.11
"Ahora Nación","REGIONAL","Secundaria",52,203,25.62
"Ahora Nación","REGIONAL","Posgrado",48,203,23.65
"Ahora Nación","REGIONAL","Universitaria",45,203,22.17
"Ahora Nación","REGIONAL","Técnica",5,203,2.46
"Apra","GENERAL","Secundaria",631,1508,41.84
"Apra","GENERAL","Universitaria",432,1508,28.65
"Apra","GENERAL","Sin datos",212,1508,14.06
"Apra","GENERAL","Posgrado",150,1508,9.95
"Apra","GENERAL","Técnica",43,1508,2.85
"Apra","GENERAL","Primaria",40,1508,2.65
"Apra","MUNICIPAL DISTRITAL","Secundaria",458,1031,44.42
"Apra","MUNICIPAL DISTRITAL","Universitaria",275,1031,26.67
"Apra","MUNICIPAL DISTRITAL","Sin datos",167,1031,16.2
"Apra","MUNICIPAL DISTRITAL","Posgrado",81,1031,7.86
"Apra","MUNICIPAL DISTRITAL","Primaria",26,1031,2.52
"Apra","MUNICIPAL DISTRITAL","Técnica",24,1031,2.33
"Apra","MUNICIPAL PROVINCIAL","Secundaria",152,393,38.68
"Apra","MUNICIPAL PROVINCIAL","Universitaria",124,393,31.55
"Apra","MUNICIPAL PROVINCIAL","Posgrado",58,393,14.76
"Apra","MUNICIPAL PROVINCIAL","Sin datos",29,393,7.38
"Apra","MUNICIPAL PROVINCIAL","Técnica",17,393,4.33
"Apra","MUNICIPAL PROVINCIAL","Primaria",13,393,3.31
"Apra","REGIONAL","Universitaria",33,84,39.29
"Apra","REGIONAL","Secundaria",21,84,25
"Apra","REGIONAL","Sin datos",16,84,19.05
"Apra","REGIONAL","Posgrado",11,84,13.1
"Apra","REGIONAL","Técnica",2,84,2.38
"Apra","REGIONAL","Primaria",1,84,1.19
"Avanza País","GENERAL","Secundaria",1034,2226,46.45
"Avanza País","GENERAL","Universitaria",557,2226,25.02
"Avanza País","GENERAL","Sin datos",292,2226,13.12
"Avanza País","GENERAL","Posgrado",195,2226,8.76
"Avanza País","GENERAL","Primaria",79,2226,3.55
"Avanza País","GENERAL","Técnica",69,2226,3.1
"Avanza País","MUNICIPAL DISTRITAL","Secundaria",825,1712,48.19
"Avanza País","MUNICIPAL DISTRITAL","Universitaria",413,1712,24.12
"Avanza País","MUNICIPAL DISTRITAL","Sin datos",233,1712,13.61
"Avanza País","MUNICIPAL DISTRITAL","Posgrado",126,1712,7.36
"Avanza País","MUNICIPAL DISTRITAL","Primaria",67,1712,3.91
"Avanza País","MUNICIPAL DISTRITAL","Técnica",48,1712,2.8
"Avanza País","MUNICIPAL PROVINCIAL","Secundaria",170,370,45.95
"Avanza País","MUNICIPAL PROVINCIAL","Universitaria",102,370,27.57
"Avanza País","MUNICIPAL PROVINCIAL","Posgrado",46,370,12.43
"Avanza País","MUNICIPAL PROVINCIAL","Sin datos",29,370,7.84
"Avanza País","MUNICIPAL PROVINCIAL","Técnica",18,370,4.86
"Avanza País","MUNICIPAL PROVINCIAL","Primaria",5,370,1.35
"Avanza País","REGIONAL","Universitaria",42,144,29.17
"Avanza País","REGIONAL","Secundaria",39,144,27.08
"Avanza País","REGIONAL","Sin datos",30,144,20.83
"Avanza País","REGIONAL","Posgrado",23,144,15.97
"Avanza País","REGIONAL","Primaria",7,144,4.86
"Avanza País","REGIONAL","Técnica",3,144,2.08
"Batalla Perú","GENERAL","Secundaria",685,1318,51.97
"Batalla Perú","GENERAL","Universitaria",253,1318,19.2
"Batalla Perú","GENERAL","Sin datos",219,1318,16.62
"Batalla Perú","GENERAL","Posgrado",82,1318,6.22
"Batalla Perú","GENERAL","Primaria",46,1318,3.49
"Batalla Perú","GENERAL","Técnica",33,1318,2.5
"Batalla Perú","MUNICIPAL DISTRITAL","Secundaria",544,1009,53.91
"Batalla Perú","MUNICIPAL DISTRITAL","Universitaria",175,1009,17.34
"Batalla Perú","MUNICIPAL DISTRITAL","Sin datos",174,1009,17.24
"Batalla Perú","MUNICIPAL DISTRITAL","Posgrado",47,1009,4.66
"Batalla Perú","MUNICIPAL DISTRITAL","Primaria",43,1009,4.26
"Batalla Perú","MUNICIPAL DISTRITAL","Técnica",26,1009,2.58
"Batalla Perú","MUNICIPAL PROVINCIAL","Secundaria",128,248,51.61
"Batalla Perú","MUNICIPAL PROVINCIAL","Universitaria",53,248,21.37
"Batalla Perú","MUNICIPAL PROVINCIAL","Sin datos",33,248,13.31
"Batalla Perú","MUNICIPAL PROVINCIAL","Posgrado",25,248,10.08
"Batalla Perú","MUNICIPAL PROVINCIAL","Técnica",6,248,2.42
"Batalla Perú","MUNICIPAL PROVINCIAL","Primaria",3,248,1.21
"Batalla Perú","REGIONAL","Universitaria",25,61,40.98
"Batalla Perú","REGIONAL","Secundaria",13,61,21.31
"Batalla Perú","REGIONAL","Sin datos",12,61,19.67
"Batalla Perú","REGIONAL","Posgrado",10,61,16.39
"Batalla Perú","REGIONAL","Técnica",1,61,1.64
"Fe en el Perú","GENERAL","Secundaria",383,670,57.16
"Fe en el Perú","GENERAL","Universitaria",152,670,22.69
"Fe en el Perú","GENERAL","Sin datos",58,670,8.66
"Fe en el Perú","GENERAL","Posgrado",34,670,5.07
"Fe en el Perú","GENERAL","Primaria",22,670,3.28
"Fe en el Perú","GENERAL","Técnica",21,670,3.13
"Fe en el Perú","MUNICIPAL DISTRITAL","Secundaria",307,525,58.48
"Fe en el Perú","MUNICIPAL DISTRITAL","Universitaria",102,525,19.43
"Fe en el Perú","MUNICIPAL DISTRITAL","Sin datos",53,525,10.1
"Fe en el Perú","MUNICIPAL DISTRITAL","Posgrado",27,525,5.14
"Fe en el Perú","MUNICIPAL DISTRITAL","Primaria",21,525,4
"Fe en el Perú","MUNICIPAL DISTRITAL","Técnica",15,525,2.86
"Fe en el Perú","MUNICIPAL PROVINCIAL","Secundaria",64,121,52.89
"Fe en el Perú","MUNICIPAL PROVINCIAL","Universitaria",40,121,33.06
"Fe en el Perú","MUNICIPAL PROVINCIAL","Posgrado",6,121,4.96
"Fe en el Perú","MUNICIPAL PROVINCIAL","Sin datos",5,121,4.13
"Fe en el Perú","MUNICIPAL PROVINCIAL","Técnica",5,121,4.13
"Fe en el Perú","MUNICIPAL PROVINCIAL","Primaria",1,121,0.83
"Fe en el Perú","REGIONAL","Secundaria",12,24,50
"Fe en el Perú","REGIONAL","Universitaria",10,24,41.67
"Fe en el Perú","REGIONAL","Posgrado",1,24,4.17
"Fe en el Perú","REGIONAL","Técnica",1,24,4.17
"Frente de la Esperanza 2021","GENERAL","Secundaria",687,1372,50.07
"Frente de la Esperanza 2021","GENERAL","Universitaria",328,1372,23.91
"Frente de la Esperanza 2021","GENERAL","Sin datos",169,1372,12.32
"Frente de la Esperanza 2021","GENERAL","Posgrado",90,1372,6.56
