"Partido","Nivel de Gobierno","Total Candidatos","Edad Promedio","Edad Mínima","Edad Máxima"
"APP","GENERAL",9477,39.2,18,86
"APP","MUNICIPAL DISTRITAL",7686,38.9,18,86
"APP","MUNICIPAL PROVINCIAL",1535,40.2,18,81
"APP","REGIONAL",256,41.3,18,75
"Acción Popular","GENERAL",6041,40.8,18,95
"Acción Popular","MUNICIPAL DISTRITAL",4692,40.2,18,95
"Acción Popular","MUNICIPAL PROVINCIAL",1023,42.6,18,90
"Acción Popular","REGIONAL",326,44.3,18,85
"Ahora Nación","GENERAL",6011,39.8,18,93
"Ahora Nación","MUNICIPAL DISTRITAL",4721,39.4,18,84
"Ahora Nación","MUNICIPAL PROVINCIAL",1087,40.7,18,93
"Ahora Nación","REGIONAL",203,43.4,18,78
"Apra","GENERAL",1508,45.2,18,93
"Apra","MUNICIPAL DISTRITAL",1031,44.7,18,93
"Apra","MUNICIPAL PROVINCIAL",393,46.2,18,93
"Apra","REGIONAL",84,47.2,21,84
"Avanza País","GENERAL",2226,39.6,18,86
"Avanza País","MUNICIPAL DISTRITAL",1712,39.5,18,86
"Avanza País","MUNICIPAL PROVINCIAL",370,40.2,18,80
"Avanza País","REGIONAL",144,39.9,18,81
"Batalla Perú","GENERAL",1318,39.1,18,83
"Batalla Perú","MUNICIPAL DISTRITAL",1009,38.9,18,83
"Batalla Perú","MUNICIPAL PROVINCIAL",248,39.5,18,80
"Batalla Perú","REGIONAL",61,40.1,21,74
"Fe en el Perú","GENERAL",670,40.8,18,81
"Fe en el Perú","MUNICIPAL DISTRITAL",525,40.6,18,81
"Fe en el Perú","MUNICIPAL PROVINCIAL",121,41.4,18,79
"Fe en el Perú","REGIONAL",24,43.7,26,72
"Frente de la Esperanza 2021","GENERAL",1372,40.2,18,84
"Frente de la Esperanza 2021","MUNICIPAL DISTRITAL",1032,39.6,18,84
"Frente de la Esperanza 2021","MUNICIPAL PROVINCIAL",289,41.8,18,81
"Frente de la Esperanza 2021","REGIONAL",51,41.6,18,76
"Frepap","GENERAL",1248,40.8,18,85
"Frepap","MUNICIPAL DISTRITAL",416,39.9,19,85
"Frepap","MUNICIPAL PROVINCIAL",584,41.9,18,83
"Frepap","REGIONAL",248,39.6,19,73
"Fuerza Popular","GENERAL",2794,40.9,18,88
"Fuerza Popular","MUNICIPAL DISTRITAL",2072,40.2,18,88
"Fuerza Popular","MUNICIPAL PROVINCIAL",579,42.3,18,85
"Fuerza Popular","REGIONAL",143,45.7,18,82
"Juntos por el Perú","GENERAL",1970,41.5,18,91
"Juntos por el Perú","MUNICIPAL DISTRITAL",1313,40.9,18,88
"Juntos por el Perú","MUNICIPAL PROVINCIAL",486,43.2,18,91
"Juntos por el Perú","REGIONAL",171,41.1,18,77
"Libertad Popular","GENERAL",1681,38.9,18,83
"Libertad Popular","MUNICIPAL DISTRITAL",1330,38.5,18,83
"Libertad Popular","MUNICIPAL PROVINCIAL",309,40.3,18,79
"Libertad Popular","REGIONAL",42,39.9,21,67
"Obras","GENERAL",734,43.3,18,89
"Obras","MUNICIPAL DISTRITAL",466,43.9,18,89
"Obras","MUNICIPAL PROVINCIAL",194,42.4,19,80
"Obras","REGIONAL",74,42.4,18,78
"PPC","GENERAL",1391,43.2,18,89
"PPC","MUNICIPAL DISTRITAL",994,42.4,18,81
"PPC","MUNICIPAL PROVINCIAL",298,45.1,18,89
"PPC","REGIONAL",99,45.6,18,76
"PRIN","GENERAL",1190,40.3,18,88
"PRIN","MUNICIPAL DISTRITAL",908,40,18,83
"PRIN","MUNICIPAL PROVINCIAL",242,41.2,20,88
"PRIN","REGIONAL",40,41.4,22,79
"Partido Demócrata Verde","GENERAL",1601,38.9,18,92
"Partido Demócrata Verde","MUNICIPAL DISTRITAL",1186,38,18,80
"Partido Demócrata Verde","MUNICIPAL PROVINCIAL",349,41.5,19,92
"Partido Demócrata Verde","REGIONAL",66,41,21,78
"Partido Morado","GENERAL",552,40.4,18,83
"Partido Morado","MUNICIPAL DISTRITAL",437,40.1,18,83
"Partido Morado","MUNICIPAL PROVINCIAL",91,41.2,18,71
"Partido Morado","REGIONAL",24,43.5,21,61
"Partido Patriótico del Perú","GENERAL",401,40.6,18,91
"Partido Patriótico del Perú","MUNICIPAL DISTRITAL",206,39.3,18,91
"Partido Patriótico del Perú","MUNICIPAL PROVINCIAL",153,41.4,18,73
"Partido Patriótico del Perú","REGIONAL",42,44.3,23,73
"Partido del Buen Gobierno","GENERAL",1069,41.8,18,78
"Partido del Buen Gobierno","MUNICIPAL DISTRITAL",406,42.1,18,78
"Partido del Buen Gobierno","MUNICIPAL PROVINCIAL",524,41.1,18,78
"Partido del Buen Gobierno","REGIONAL",139,43.6,19,76
"País Para Todos","GENERAL",2927,39.4,18,82
"País Para Todos","MUNICIPAL DISTRITAL",2225,39.1,18,82
"País Para Todos","MUNICIPAL PROVINCIAL",554,40.1,18,74
"País Para Todos","REGIONAL",148,41.2,19,73
"Perú Libre","GENERAL",671,41.3,18,87
"Perú Libre","MUNICIPAL DISTRITAL",491,40.6,18,80
"Perú Libre","MUNICIPAL PROVINCIAL",152,43.5,18,87
"Perú Libre","REGIONAL",28,41.6,21,74
"Perú Moderno","GENERAL",810,39.9,18,79
"Perú Moderno","MUNICIPAL DISTRITAL",576,39.3,18,79
"Perú Moderno","MUNICIPAL PROVINCIAL",188,41.2,20,78
"Perú Moderno","REGIONAL",46,42.2,21,73
"Perú Primero","GENERAL",7563,39,18,86
"Perú Primero","MUNICIPAL DISTRITAL",5976,38.5,18,86
"Perú Primero","MUNICIPAL PROVINCIAL",1273,40.3,18,84
"Perú Primero","REGIONAL",314,41.5,19,79
"Podemos Perú","GENERAL",7292,39,18,87
"Podemos Perú","MUNICIPAL DISTRITAL",5839,38.6,18,87
"Podemos Perú","MUNICIPAL PROVINCIAL",1213,40.3,18,80
"Podemos Perú","REGIONAL",240,41,19,72
"Primero la Gente","GENERAL",246,42.6,18,82
"Primero la Gente","MUNICIPAL DISTRITAL",94,39.1,19,82
"Primero la Gente","MUNICIPAL PROVINCIAL",88,45.1,18,78
"Primero la Gente","REGIONAL",64,44.3,22,79
"Progresemos","GENERAL",3579,39.2,18,88
"Progresemos","MUNICIPAL DISTRITAL",2744,38.9,18,88
"Progresemos","MUNICIPAL PROVINCIAL",691,39.6,18,80
"Progresemos","REGIONAL",144,42.3,19,75
"Pueblo Consciente","GENERAL",781,41.2,18,89
"Pueblo Consciente","MUNICIPAL DISTRITAL",104,39.7,18,89
"Pueblo Consciente","MUNICIPAL PROVINCIAL",489,41.4,18,80
"Pueblo Consciente","REGIONAL",188,41.5,18,83
"Renovación Popular","GENERAL",5313,39.6,18,94
"Renovación Popular","MUNICIPAL DISTRITAL",4098,39.2,18,94
"Renovación Popular","MUNICIPAL PROVINCIAL",948,40.3,18,83
"Renovación Popular","REGIONAL",267,41.8,19,75
"Salvemos al Perú","GENERAL",485,42,19,86
"Salvemos al Perú","MUNICIPAL DISTRITAL",341,41,19,83
"Salvemos al Perú","MUNICIPAL PROVINCIAL",108,42.6,19,86
"Salvemos al Perú","REGIONAL",36,50.1,20,78
"Somos Perú","GENERAL",9198,39,18,92
"Somos Perú","MUNICIPAL DISTRITAL",7349,38.8,18,92
"Somos Perú","MUNICIPAL PROVINCIAL",1522,40.1,18,83
"Somos Perú","REGIONAL",327,40.7,18,78
"SíCreo","GENERAL",170,43.2,18,74
"SíCreo","MUNICIPAL DISTRITAL",129,42.8,18,74
"SíCreo","MUNICIPAL PROVINCIAL",41,44.6,19,70
"Todo con el Pueblo","GENERAL",374,42.1,19,87
"Todo con el Pueblo","MUNICIPAL DISTRITAL",91,38.8,20,68
"Todo con el Pueblo","MUNICIPAL PROVINCIAL",144,42.8,19,80
"Todo con el Pueblo","REGIONAL",139,43.4,19,87
"Un Camino Diferente","GENERAL",181,39.4,18,77
"Un Camino Diferente","MUNICIPAL DISTRITAL",138,39.6,18,76
"Un Camino Diferente","MUNICIPAL PROVINCIAL",43,38.8,19,77
"Unidad y Paz","GENERAL",121,45.9,19,87
"Unidad y Paz","MUNICIPAL DISTRITAL",121,45.9,19,87
"Unido Perú","GENERAL",316,42.8,18,79
"Unido Perú","MUNICIPAL DISTRITAL",190,43.4,19,79
"Unido Perú","MUNICIPAL PROVINCIAL",100,41.5,18,74
"Unido Perú","REGIONAL",26,43,18,75
"Venceremos","GENERAL",1963,40.6,18,96
"Venceremos","MUNICIPAL DISTRITAL",1245,39.8,18,96
"Venceremos","MUNICIPAL PROVINCIAL",510,41.5,18,79
"Venceremos","REGIONAL",208,43.7,19,76
